#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.05,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.005,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.1,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.01,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.001,-1
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.075,-1
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.05,1
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.005,0
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.025,0
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.075,1
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.01,0
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0,0
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.1,1
1.77778E-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.001,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.1,1
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.075,1
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.005,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.001,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.025,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.01,0
0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.05,1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.05,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.025,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.01,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.075,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.1,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.001,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0,-1
0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.005,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.005,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.075,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.001,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.01,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.1,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.05,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.025,-1
2.28571E-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0,-1
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.025,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.1,1
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.05,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.005,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.075,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.001,0
0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.01,0
1,1,5,500,298.776,0.000627638,3.89763,0.005,0
1,1,5,500,298.776,0.000627638,3.89763,0,0
1,1,5,500,298.776,0.000627638,3.89763,0.05,1
1,1,5,500,298.776,0.000627638,3.89763,0.1,1
1,1,5,500,298.776,0.000627638,3.89763,0.001,0
1,1,5,500,298.776,0.000627638,3.89763,0.075,1
1,1,5,500,298.776,0.000627638,3.89763,0.025,1
1,1,5,500,298.776,0.000627638,3.89763,0.01,0
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.1,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.075,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.01,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.005,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.001,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.05,-1
2.28571E-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.025,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.05,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.005,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.025,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.075,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.001,-1
0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.01,-1
