#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.05,20,1.42,1.47,19.89,1
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.025,22,1.42,1.47,11.22,0
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.075,16,1.43,1.48,10.81,1
17.43,28.07,1e6,1.77778e-06,1.77778,5,140.35,85.0019,0.00746603,3.65283,0.1,16,1.44,1.5,16.14,1
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.1,16,1.44,1.5,11.53,1
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.075,17,1.43,1.48,10.15,1
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.025,23,1.42,1.47,20,0
14.87,38.57,1e4,0.000177764,1.77764,5,192.85,107.039,0.00636967,3.65324,0.05,19,1.41,1.47,9.218,1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.05,21,1.41,1.47,8.992,-1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.025,22,1.4,1.45,7.759,-1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.075,19,1.44,1.49,8.18,-1
4.89,7.88,1e-2,0.022567,2.2567,5,39.4,25.0063,0.0764772,2.94691,0.1,-1,-1,-1,-1,-1
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.075,-1,-1,-1,-1,-1
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.1,-1,-1,-1,-1,-1
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.05,21,1.4,1.45,8.213,-1
2.21,20.43,1e-6,2.28571e-06,2.28571,5,102.15,54.026,0.0581477,2.62539,0.025,26,1.37,1.42,9.312,-1
4.18,38.57,1e2,0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.025,24,1.4,1.45,9.617,0
4.18,38.57,1e2,0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.1,15,1.45,1.5,5.844,1
4.18,38.57,1e2,0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.05,21,1.4,1.46,8.386,0
4.18,38.57,1e2,0.0176406,1.76406,5,192.85,100.158,0.0195148,3.14623,0.075,22,1.43,1.48,8.877,0
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.05,22,1.42,1.47,10.28,1
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.1,18,1.44,1.5,8.853,1
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.075,18,1.43,1.48,10.65,1
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.025,20,1.43,1.48,9.677,1
5.74,32.90,1e-6,2.28571e-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.1,-1,-1,-1,-1,-1
5.74,32.90,1e-6,2.28571e-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.075,-1,-1,-1,-1,-1
5.74,32.90,1e-6,2.28571e-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.05,21,1.41,1.46,9.083,-1
5.74,32.90,1e-6,2.28571e-06,2.28571,5,164.5,86.7975,0.0175065,3.30604,0.025,25,1.4,1.46,10.18,-1
1.89,52.98,1e-2,0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.05,21,1.39,1.44,10.3,-1
1.89,52.98,1e-2,0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.025,25,1.36,1.42,10.19,-1
1.89,52.98,1e-2,0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.075,16,1.43,1.48,5.355,-1
1.89,52.98,1e-2,0.022567,2.2567,5,264.9,135.256,0.0256407,2.56746,0.1,-1,-1,-1,-1,-1
2.59,45.20,1e0,1,1,5,226,116.065,0.024117,2.82333,0.075,18,1.42,1.48,7.719,1
2.59,45.20,1e0,1,1,5,226,116.065,0.024117,2.82333,0.025,29,1.38,1.43,12.43,0
2.59,45.20,1e0,1,1,5,226,116.065,0.024117,2.82333,0.1,17,1.44,1.5,6.355,1
2.59,45.20,1e0,1,1,5,226,116.065,0.024117,2.82333,0.05,23,1.4,1.45,9.838,0
1.61,2.21,1e4,0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.075,-1,-1,-1,-1,-1
1.61,2.21,1e4,0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.05,16,1.43,1.48,6.907,-1
1.61,2.21,1e4,0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.1,-1,-1,-1,-1,-1
1.61,2.21,1e4,0.000177764,1.77764,5,11.05,8.43907,0.477435,1.69876,0.025,16,1.36,1.41,6.635,-1
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.075,18,1.43,1.49,8.951,-1
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.05,19,1.41,1.47,7.704,-1
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.1,-1,-1,-1,-1,-1
7.88,12.69,1e0,1,1,5,63.45,39.2988,0.0329036,3.29027,0.025,22,1.41,1.46,8.958,-1
3.04,7.88,1e-6,2.28571e-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.075,-1,-1,-1,-1,-1
3.04,7.88,1e-6,2.28571e-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.025,22,1.39,1.44,8.812,-1
3.04,7.88,1e-6,2.28571e-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.1,-1,-1,-1,-1,-1
3.04,7.88,1e-6,2.28571e-06,2.28571,5,39.4,23.2905,0.111498,2.67095,0.05,19,1.41,1.46,6.992,-1
1.00,23.95,1e0,1,1,5,119.75,62.375,0.0801603,1.91984,0.025,15,1.39,1.44,8.88,1
1.00,23.95,1e0,1,1,5,119.75,62.375,0.0801603,1.91984,0.1,16,1.46,1.52,12.81,1
1.00,23.95,1e0,1,1,5,119.75,62.375,0.0801603,1.91984,0.05,19,1.36,1.41,17.9,0
1.00,23.95,1e0,1,1,5,119.75,62.375,0.0801603,1.91984,0.075,15,1.4,1.45,10.29,1
28.07,38.57,1e0,1,1,5,192.85,121.372,0.00347735,3.76479,0.025,23,1.42,1.47,11.07,-1
28.07,38.57,1e0,1,1,5,192.85,121.372,0.00347735,3.76479,0.1,-1,-1,-1,-1,-1
28.07,38.57,1e0,1,1,5,192.85,121.372,0.00347735,3.76479,0.075,18,1.43,1.48,8.911,-1
28.07,38.57,1e0,1,1,5,192.85,121.372,0.00347735,3.76479,0.05,21,1.42,1.47,11.26,-1
4.89,9.24,1e-6,2.28571e-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.025,23,1.4,1.45,9.146,-1
4.89,9.24,1e-6,2.28571e-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.05,19,1.41,1.46,7.2,-1
4.89,9.24,1e-6,2.28571e-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.075,16,1.44,1.49,5.897,-1
4.89,9.24,1e-6,2.28571e-06,2.28571,5,46.2,28.1539,0.06632,2.99658,0.1,-1,-1,-1,-1,-1
62.10,100.00,1e2,0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.025,21,1.43,1.48,11.34,1
62.10,100.00,1e2,0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.075,17,1.43,1.48,11.28,1
62.10,100.00,1e2,0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.1,17,1.44,1.5,9.373,1
62.10,100.00,1e2,0.0176406,1.76406,5,500,298.776,0.000627638,3.89763,0.05,23,1.42,1.47,10.34,0
17.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.025,24,1.42,1.47,23.03,-1
17.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.05,23,1.42,1.47,19.21,-1
17.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.1,-1,-1,-1,-1,-1
17.43,28.07,1e-6,2.28571e-06,2.28571,5,140.35,85.0019,0.00746603,3.65283,0.075,21,1.43,1.48,19.32,-1
1.89,20.43,1e-6,2.28571e-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.075,16,1.43,1.49,8.591,-1
1.89,20.43,1e-6,2.28571e-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.1,-1,-1,-1,-1,-1
1.89,20.43,1e-6,2.28571e-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.05,20,1.39,1.44,10.89,-1
1.89,20.43,1e-6,2.28571e-06,2.28571,5,102.15,53.897,0.0645862,2.49385,0.025,23,1.36,1.41,12.33,-1
10.83,32.90,1e2,0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.075,18,1.43,1.48,19.26,-1
10.83,32.90,1e2,0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.025,22,1.41,1.47,22.21,-1
10.83,32.90,1e2,0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.05,20,1.41,1.47,18.23,-1
10.83,32.90,1e2,0.0176406,1.76406,5,164.5,90.084,0.00997414,3.55386,0.1,-1,-1,-1,-1,-1
23.95,85.32,1e-6,2.28571e-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.1,21,1.44,1.5,11.95,1
23.95,85.32,1e-6,2.28571e-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.075,25,1.43,1.48,10.29,1
23.95,85.32,1e-6,2.28571e-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.025,26,1.42,1.48,14.46,1
23.95,85.32,1e-6,2.28571e-06,2.28571,5,426.6,227.68,0.00185728,3.7952,0.05,25,1.42,1.47,13.92,1
5.74,14.87,1e-2,0.022567,2.2567,5,74.35,42.3577,0.0373958,3.19188,0.075,18,1.43,1.49,6.493,-1
5.74,14.87,1e-2,0.022567,2.2567,5,74.35,42.3577,0.0373958,3.19188,0.05,20,1.41,1.47,10.22,-1
5.74,14.87,1e-2,0.022567,2.2567,5,74.35,42.3577,0.0373958,3.19188,0.1,-1,-1,-1,-1,-1
5.74,14.87,1e-2,0.022567,2.2567,5,74.35,42.3577,0.0373958,3.19188,0.025,25,1.4,1.46,9.552,-1
2.21,32.90,1e-4,0.000228542,2.28542,5,164.5,85.1813,0.0367583,2.67266,0.05,22,1.39,1.45,9.871,1
2.21,32.90,1e-4,0.000228542,2.28542,5,164.5,85.1813,0.0367583,2.67266,0.025,27,1.37,1.42,12.34,0
2.21,32.90,1e-4,0.000228542,2.28542,5,164.5,85.1813,0.0367583,2.67266,0.1,18,1.44,1.5,9.317,1
2.21,32.90,1e-4,0.000228542,2.28542,5,164.5,85.1813,0.0367583,2.67266,0.075,18,1.43,1.48,6.713,1
9.24,32.90,1e4,0.000177764,1.77764,5,164.5,88.9362,0.0115229,3.5029,0.075,16,1.43,1.48,18.16,-1
9.24,32.90,1e4,0.000177764,1.77764,5,164.5,88.9362,0.0115229,3.5029,0.025,24,1.41,1.47,17.27,-1
9.24,32.90,1e4,0.000177764,1.77764,5,164.5,88.9362,0.0115229,3.5029,0.1,-1,-1,-1,-1,-1
9.24,32.90,1e4,0.000177764,1.77764,5,164.5,88.9362,0.0115229,3.5029,0.05,20,1.41,1.47,20.06,-1
5.74,6.72,1e6,1.77778e-06,1.77778,5,33.6,23.5868,0.0768746,2.96527,0.075,-1,-1,-1,-1,-1
5.74,6.72,1e6,1.77778e-06,1.77778,5,33.6,23.5868,0.0768746,2.96527,0.05,19,1.41,1.47,9.848,-1
5.74,6.72,1e6,1.77778e-06,1.77778,5,33.6,23.5868,0.0768746,2.96527,0.025,20,1.4,1.45,7.806,-1
5.74,6.72,1e6,1.77778e-06,1.77778,5,33.6,23.5868,0.0768746,2.96527,0.1,-1,-1,-1,-1,-1
2.59,5.74,1e2,0.0176406,1.76406,5,28.7,17.7429,0.165312,2.45763,0.075,-1,-1,-1,-1,-1
2.59,5.74,1e2,0.0176406,1.76406,5,28.7,17.7429,0.165312,2.45763,0.05,18,1.41,1.46,9.061,-1
2.59,5.74,1e2,0.0176406,1.76406,5,28.7,17.7429,0.165312,2.45763,0.1,-1,-1,-1,-1,-1
2.59,5.74,1e2,0.0176406,1.76406,5,28.7,17.7429,0.165312,2.45763,0.025,21,1.38,1.43,9.744,-1
2.59,23.95,1e2,0.0176406,1.76406,5,119.75,62.9749,0.0446576,2.77013,0.025,25,1.38,1.43,9.965,-1
2.59,23.95,1e2,0.0176406,1.76406,5,119.75,62.9749,0.0446576,2.77013,0.075,-1,-1,-1,-1,-1
2.59,23.95,1e2,0.0176406,1.76406,5,119.75,62.9749,0.0446576,2.77013,0.05,21,1.4,1.45,8.467,-1
2.59,23.95,1e2,0.0176406,1.76406,5,119.75,62.9749,0.0446576,2.77013,0.1,-1,-1,-1,-1,-1
1.17,14.87,1e2,0.0176406,1.76406,5,74.35,39.7334,0.116151,2.02079,0.075,16,1.41,1.47,9.726,-1
1.17,14.87,1e2,0.0176406,1.76406,5,74.35,39.7334,0.116151,2.02079,0.05,17,1.36,1.41,10.36,-1
1.17,14.87,1e2,0.0176406,1.76406,5,74.35,39.7334,0.116151,2.02079,0.025,16,1.39,1.44,9.598,-1
