#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.005,31,1.1,1.14,18.46,1
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0,179,1.03,1.07,185.9,0
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.001,61,1.09,1.14,39.86,0
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.025,30,1.12,1.16,14.06,1
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.1,-1,-1,-1,-1,-1
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.075,-1,-1,-1,-1,-1
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0,200,1.03,1.07,250.3,0
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.01,53,1.3,1.35,34.32,0
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.05,-1,-1,-1,-1,-1
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.001,136,1.2,1.25,122.1,0
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.025,32,1.33,1.38,19.12,1
52.98,85.32,1e0,1,1,1,85.32,51.0286,0.000858451,3.88042,0.005,66,1.28,1.33,43.56,0
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.075,-1,-1,-1,-1,-1
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0,168,1.03,1.07,171.5,0
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.05,-1,-1,-1,-1,-1
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.1,-1,-1,-1,-1,-1
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.001,69,1.09,1.13,53.42,0
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.025,38,1.12,1.16,22.63,1
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.005,42,1.1,1.14,27.84,1
3.56,72.79,1e0,1,1,1,72.79,37.0767,0.0118877,3.08049,0.01,40,1.1,1.15,19.46,1
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.005,62,1.2,1.24,41.27,0
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.075,-1,-1,-1,-1,-1
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.05,-1,-1,-1,-1,-1
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0,131,1.03,1.07,113.4,0
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.1,-1,-1,-1,-1,-1
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.001,102,1.08,1.13,73.61,0
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.01,48,1.24,1.29,26.81,0
20.43,32.90,1e0,1,1,1,32.9,19.8713,0.00550602,3.70086,0.025,36,1.29,1.34,19.38,1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0,79,1.03,1.07,55.8,0
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.075,-1,-1,-1,-1,-1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.001,75,1.04,1.08,60.87,0
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.01,26,1.09,1.13,13.58,1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.025,21,1.12,1.16,10.99,1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.1,-1,-1,-1,-1,-1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.05,-1,-1,-1,-1,-1
2.21,14.87,1e0,1,1,1,14.87,8.02929,0.0785196,2.58037,0.005,38,1.08,1.12,23.33,0
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.075,-1,-1,-1,-1,-1
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0,45,1.03,1.07,26.12,0
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.01,31,1.09,1.13,17.95,1
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.001,44,1.04,1.07,29.25,0
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.05,-1,-1,-1,-1,-1
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.1,-1,-1,-1,-1,-1
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.025,-1,-1,-1,-1,-1
4.89,6.72,1e0,1,1,1,6.72,4.48325,0.0879685,2.89072,0.005,43,1.04,1.08,24.78,0
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.01,46,1.04,1.07,33.59,1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.075,-1,-1,-1,-1,-1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.001,46,1.04,1.07,37.67,1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.05,-1,-1,-1,-1,-1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.1,-1,-1,-1,-1,-1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0,47,1.03,1.07,32.35,1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.005,46,1.04,1.07,45.9,1
1.17,2.59,1e0,1,1,1,2.59,1.80871,0.513459,1.55593,0.025,64,1.11,1.15,56.51,0
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.01,25,1.1,1.14,12.83,1
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.075,-1,-1,-1,-1,-1
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.001,65,1.08,1.12,40.5,0
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.005,34,1.1,1.14,20.77,0
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0,120,1.03,1.07,124,0
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.025,23,1.12,1.16,10.69,1
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.05,-1,-1,-1,-1,-1
2.21,32.90,1e0,1,1,1,32.9,17.0363,0.0367583,2.67266,0.1,-1,-1,-1,-1,-1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.01,22,1.04,1.07,11.31,1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0,18,1.03,1.07,13.35,1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.075,-1,-1,-1,-1,-1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.025,18,1.11,1.15,11.53,1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.005,22,1.04,1.07,10.66,1
1.00,2.59,1e0,1,1,1,2.59,1.795,0.557103,1.4429,0.05,-1,-1,-1,-1,-1
