#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
14.87,38.57,1e2,0.0176406,1.76406,5,192.85,107.039,0.00636967,3.65324,0,200,1.03,1.07,316.8, 0.0966
6.72,12.69,1e6,1.77778e-06,1.77778,5,63.45,38.0488,0.0378477,3.22753,0.005,70,1.27,1.32,28.43,-0.0062
3.56,32.90,1e-4,0.000228542,2.28542,5,164.5,85.7354,0.0258759,3.03069,0,153,1.03,1.07,110.4,-0.0032
2.21,32.90,1e2,0.0176406,1.76406,5,164.5,85.1813,0.0367583,2.67266,0.05,21,1.39,1.45,9.423,-0.0194
3.56,12.69,1e-2,0.022567,2.2567,5,63.45,35.4556,0.0640755,2.8947,0.1,-1,-1,-1,-1, 1.0000
12.69,38.57,1e-4,0.000228542,2.28542,5,192.85,105.293,0.00738398,3.61411,0,200,1.03,1.07,259.4, 0.1378
1.00,38.57,1e6,1.77778e-06,1.77778,5,192.85,98.925,0.0505433,1.94946,0.01,45,1.11,1.15,38.92, 0.3783
1.37,17.43,1e-4,0.000228542,2.28542,5,87.15,46.2035,0.091577,2.18678,0.075,18,1.43,1.48,13.25,-0.0224
17.43,20.43,1e-2,0.022567,2.2567,5,102.15,68.6276,0.0101277,3.60644,0.01,50,1.34,1.39,62.65, 0.3556
5.74,85.32,1e-2,0.022567,2.2567,5,426.6,217.547,0.00687525,3.36706,0.01,53,1.31,1.36,21.99, 0.3398
1.37,62.10,1e2,0.0176406,1.76406,5,310.5,157.877,0.0267474,2.27559,0.075,17,1.42,1.47,14.43, 0.8931
45.20,62.10,1e2,0.0176406,1.76406,5,310.5,194.49,0.00137211,3.8514,0.025,21,1.42,1.48,10.14, 0.8095
38.57,72.79,1e6,1.77778e-06,1.77778,5,363.95,210.479,0.00136992,3.84608,0.005,52,1.34,1.39,29.91, 0.3392
7.88,52.98,1e2,0.0176406,1.76406,5,264.9,137.845,0.00834477,3.48379,0.1,16,1.44,1.5,12.14, 1.0000
20.43,38.57,1e6,1.77778e-06,1.77778,5,192.85,112.29,0.00471706,3.71698,0.005,62,1.33,1.38,28.09, 0.2711
28.07,85.32,1e6,1.77778e-06,1.77778,5,426.6,230.731,0.00159406,3.81766,0.01,41,1.35,1.4,20.99, 0.4065
1.37,4.89,1e-6,2.28571e-06,2.28571,5,24.45,14.8712,0.286547,1.91967,0.001,73,1.06,1.09,52.03,-0.0066
1.89,85.32,1e-4,0.000228542,2.28542,5,426.6,216.106,0.0160343,2.58561,0.01,58,1.25,1.29,22.67, 0.3361
1.61,62.10,1e4,0.000177764,1.77764,5,310.5,157.96,0.0242879,2.42833,0.01,53,1.2,1.25,26.89, 0.3119
1.89,12.69,1e6,1.77778e-06,1.77778,5,63.45,34.5651,0.101102,2.42483,0.005,69,1.11,1.15,33.79,-0.0067
1.61,72.79,1e-6,2.28571e-06,2.28571,5,363.95,184.685,0.0207693,2.43399,0.1,15,1.45,1.5,6.984, 1.0000
3.04,10.83,1e6,1.77778e-06,1.77778,5,54.15,30.5395,0.0836939,2.75547,0.025,23,1.39,1.44,8.959,-0.0178
1.89,3.56,1e2,0.0176406,1.76406,5,17.8,11.9074,0.303527,2.04225,0.005,52,1.1,1.14,27.78,-0.0090
1.37,7.88,1e0,1,1,5,39.4,22.3357,0.190063,2.05185,0.01,58,1.15,1.2,54.23,-0.0078
4.89,12.69,1e2,0.0176406,1.76406,5,63.45,36.4023,0.0496068,3.07831,0.075,-1,-1,-1,-1, 1.0000
2.21,72.79,1e-4,0.000228542,2.28542,5,363.95,184.891,0.0168872,2.71657,0.1,-1,-1,-1,-1, 1.0000
17.43,38.57,1e4,0.000177764,1.77764,5,192.85,109.315,0.0054849,3.68736,0.005,74,1.32,1.37,76.41, 0.2263
1.00,2.21,1e2,0.0176406,1.76406,5,11.05,8.025,0.623053,1.37695,0.025,15,1.39,1.44,4.938, 1.0000
1.37,9.24,1e0,1,1,5,46.2,25.7336,0.164821,2.08643,0.025,18,1.37,1.42,22.02,-0.0230
14.87,20.43,1e-4,0.000228542,2.28542,5,102.15,65.0118,0.0117615,3.57306,0,200,1.03,1.07,323.2,-0.0024
7.88,12.69,1e-6,2.28571e-06,2.28571,5,63.45,39.2988,0.0329036,3.29027,0,147,1.03,1.07,87.33,-0.0033
2.21,52.98,1e4,0.000177764,1.77764,5,264.9,135.371,0.0230846,2.70288,0.075,15,1.43,1.48,6.363,-0.0269
1.00,52.98,1e0,1,1,5,264.9,134.95,0.0370508,1.96295,0.005,52,1.1,1.15,32.72, 0.3274
1.37,100.00,1e0,1,1,5,500,252.627,0.0167105,2.28934,0.1,16,1.45,1.5,7.614, 0.9880
10.83,45.20,1e4,0.000177764,1.77764,5,226,120.249,0.00731869,3.58262,0.01,55,1.33,1.38,42.66, 0.3031
9.24,72.79,1e2,0.0176406,1.76406,5,363.95,187.842,0.00529374,3.56046,0.075,17,1.43,1.48,16.28, 0.9488
45.20,72.79,1e-2,0.022567,2.2567,5,363.95,217.906,0.00117333,3.86039,0.1,18,1.44,1.5,11.73, 1.0000
4.18,5.74,1e2,0.0176406,1.76406,5,28.7,19.3772,0.11457,2.7489,0.01,50,1.28,1.33,22.78,-0.0086
7.88,20.43,1e-6,2.28571e-06,2.28571,5,102.15,57.5278,0.0210196,3.38391,0,157,1.03,1.07,112.4,-0.0031
23.95,52.98,1e6,1.77778e-06,1.77778,5,264.9,149.529,0.00297,3.76855,0,200,1.03,1.07,157.3, 0.0966
32.90,45.20,1e-6,2.28571e-06,2.28571,5,226,141.979,0.00255398,3.79798,0.025,24,1.42,1.48,12.23, 0.8750
10.83,38.57,1e-2,0.022567,2.2567,5,192.85,103.942,0.00854494,3.56933,0.01,55,1.33,1.38,44.9,-0.0076
17.43,52.98,1e4,0.000177764,1.77764,5,264.9,143.956,0.0040207,3.71288,0.005,74,1.32,1.37,84.56, 0.2281
1.89,62.10,1e2,0.0176406,1.76406,5,310.5,158.056,0.0219348,2.57446,0.075,16,1.43,1.48,6.516, 0.9451
2.59,45.20,1e2,0.0176406,1.76406,5,226,116.065,0.024117,2.82333,0.005,69,1.2,1.25,30.26,-0.0064
1.89,10.83,1e6,1.77778e-06,1.77778,5,54.15,29.9238,0.116998,2.39479,0.075,-1,-1,-1,-1, 1.0000
2.21,38.57,1e2,0.0176406,1.76406,5,192.85,99.3519,0.0314912,2.6843,0.1,-1,-1,-1,-1, 1.0000
1.00,9.24,1e-4,0.000228542,2.28542,5,46.2,25.6,0.195313,1.80469,0.005,50,1.1,1.14,34.52, 0.3421
1.61,5.74,1e-6,2.28571e-06,2.28571,5,28.7,17.1051,0.227384,2.10134,0,92,1.03,1.07,41.47,-0.0053
5.74,100.00,1e4,0.000177764,1.77764,5,500,254.221,0.00587596,3.3728,0.005,62,1.27,1.31,28.1, 0.2771
1.61,2.21,1e0,1,1,5,11.05,8.43907,0.477435,1.69876,0.05,16,1.43,1.48,6.454,-0.0252
2.21,12.69,1e-6,2.28571e-06,2.28571,5,63.45,34.7099,0.0910231,2.55273,0.05,19,1.4,1.45,6.526,-0.0215
4.18,5.74,1e-4,0.000228542,2.28542,5,28.7,19.3772,0.11457,2.7489,0.001,85,1.08,1.11,36.38,-0.0056
3.56,52.98,1e-4,0.000228542,2.28542,5,264.9,135.881,0.0162503,3.06496,0.025,24,1.39,1.44,12.71,-0.0171
1.17,3.56,1e-6,2.28571e-06,2.28571,5,17.8,11.4638,0.404236,1.68373,0.1,-1,-1,-1,-1, 1.0000
23.95,100.00,1e0,1,1,5,500,263.738,0.00158733,3.80166,0.05,22,1.42,1.47,10.35, 0.8215
1.37,3.56,1e0,1,1,5,17.8,11.5588,0.370124,1.80517,0.005,45,1.09,1.13,34.4,-0.0104
1.37,10.83,1e-4,0.000228542,2.28542,5,54.15,29.7068,0.142668,2.11678,0.005,63,1.1,1.14,69.82,-0.0074
38.57,45.20,1e6,1.77778e-06,1.77778,5,226,150.035,0.00218802,3.81452,0.05,23,1.42,1.47,8.875, 0.7041
52.98,72.79,1e-2,0.022567,2.2567,5,363.95,227.706,0.00100422,3.87269,0.025,24,1.42,1.48,9.843, 0.7560
23.95,62.10,1e4,0.000177764,1.77764,5,310.5,171.279,0.00254074,3.77883,0.05,23,1.42,1.47,14.68, 0.7041
3.04,32.90,1e4,0.000177764,1.77764,5,164.5,85.5126,0.0292065,2.92111,0.001,99,1.1,1.14,63,-0.0047
4.18,52.98,1e6,1.77778e-06,1.77778,5,264.9,136.133,0.0143053,3.168,0.1,-1,-1,-1,-1, 1.0000
4.18,28.07,1e-6,2.28571e-06,2.28571,5,140.35,73.9801,0.0265635,3.11676,0.1,-1,-1,-1,-1, 1.0000
1.61,3.56,1e6,1.77778e-06,1.77778,5,17.8,11.7014,0.336089,1.92633,0.05,16,1.41,1.46,6.259,-0.0254
4.89,85.32,1e-6,2.28571e-06,2.28571,5,426.6,217.208,0.00786744,3.28241,0.1,17,1.44,1.5,6.342, 0.9920
9.24,14.87,1e-2,0.022567,2.2567,5,74.35,45.7835,0.0246141,3.38194,0.05,20,1.41,1.47,15.63,-0.0202
14.87,28.07,1e4,0.000177764,1.77764,5,140.35,82.1695,0.00867038,3.61902,0.005,64,1.31,1.36,81.89,-0.0066
2.59,17.43,1e-4,0.000228542,2.28542,5,87.15,46.705,0.0604561,2.72921,0.025,24,1.38,1.43,12.14,-0.0171
6.72,28.07,1e4,0.000177764,1.77764,5,140.35,75.3945,0.0178237,3.36209,0.05,23,1.41,1.47,9.898, 0.6985
1.17,52.98,1e-2,0.022567,2.2567,5,264.9,135.008,0.0341482,2.11673,0.01,67,1.11,1.16,63.75,-0.0069
1.89,17.43,1e-6,2.28571e-06,2.28571,5,87.15,46.4018,0.0750995,2.47398,0.075,-1,-1,-1,-1, 1.0000
1.89,23.95,1e4,0.000177764,1.77764,5,119.75,62.6928,0.0554743,2.51107,0.01,53,1.24,1.29,22.64,-0.0082
1.89,14.87,1e6,1.77778e-06,1.77778,5,74.35,40.0078,0.0872138,2.45108,0.05,20,1.39,1.45,9.968,-0.0204
52.98,62.10,1e-4,0.000228542,2.28542,5,310.5,205.558,0.00117435,3.86368,0.05,25,1.42,1.47,13.11, 0.8502
2.59,7.88,1e-6,2.28571e-06,2.28571,5,39.4,22.9778,0.125474,2.56082,0.001,82,1.08,1.12,48.21,-0.0058
2.21,20.43,1e4,0.000177764,1.77764,5,102.15,54.026,0.0581477,2.62539,0.005,69,1.17,1.21,30.11,-0.0066
3.56,32.90,1e2,0.0176406,1.76406,5,164.5,85.7354,0.0258759,3.03069,0.075,19,1.43,1.48,8.763,-0.0212
7.88,45.20,1e-4,0.000228542,2.28542,5,226,118.505,0.00975001,3.47272,0.005,70,1.3,1.34,31.73, 0.3205
3.04,10.83,1e2,0.0176406,1.76406,5,54.15,30.5395,0.0836939,2.75547,0.075,16,1.43,1.49,6.378,-0.0251
4.18,52.98,1e-4,0.000228542,2.28542,5,264.9,136.133,0.0143053,3.168,0.001,132,1.11,1.15,70,-0.0035
6.72,100.00,1e4,0.000177764,1.77764,5,500,254.615,0.00513005,3.44739,0.001,103,1.2,1.24,51.42, 0.1720
10.83,52.98,1e0,1,1,5,264.9,139.472,0.00626386,3.59404,0.005,64,1.31,1.36,78.66, 0.2956
7.88,17.43,1e-4,0.000228542,2.28542,5,87.15,50.337,0.0244412,3.35695,0.075,23,1.43,1.49,12.22,-0.0175
2.59,23.95,1e-2,0.022567,2.2567,5,119.75,62.9749,0.0446576,2.77013,0.05,23,1.4,1.45,8.944,-0.0177
3.04,4.18,1e-4,0.000228542,2.28542,5,20.9,14.5296,0.191139,2.42884,0,85,1.03,1.07,38.21,-0.0057
2.59,45.20,1e2,0.0176406,1.76406,5,226,116.065,0.024117,2.82333,0.1,-1,-1,-1,-1, 1.0000
5.74,9.24,1e0,1,1,5,46.2,29.0518,0.0579562,3.07386,0.025,22,1.4,1.45,8.189,-0.0186
38.57,62.10,1e4,0.000177764,1.77764,5,310.5,186.145,0.00160201,3.83712,0.01,48,1.35,1.4,33.94, 0.3660
