%labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst,Pred,Pr -1,Pr 0,Pr 1
1,1,1,2.21,1.68781,0.477435,1.69876,0.05,-1,-1,-1,-1,-1,-1,0.906437,0,0.0935626
1,1,1,2.21,1.68781,0.477435,1.69876,0.1,-1,-1,-1,-1,-1,-1,0.884124,0,0.115876
1,1,1,1.61,1.3605,0.646653,1.42632,0.025,45,1.05,1.09,32.68,1,1,0,0.0895058,0.910494
1,1,1,1.61,1.3605,0.646653,1.42632,0.075,-1,-1,-1,-1,-1,-1,0.884124,0,0.115876
1,1,1,1.61,1.3605,0.646653,1.42632,0.01,43,1.04,1.07,33.1,1,1,0,0.0867708,0.913229
1,1,1,1.61,1.3605,0.646653,1.42632,0.001,43,1.04,1.07,30.79,1,1,0,0.156123,0.843877
1,1,1,1.61,1.3605,0.646653,1.42632,0.05,-1,-1,-1,-1,-1,-1,0.841349,0,0.158651
1,1,1,1.61,1.3605,0.646653,1.42632,0.1,-1,-1,-1,-1,-1,-1,0.841349,0,0.158651
1,1,1,1.61,1.3605,0.646653,1.42632,0,42,1.03,1.07,30.16,1,1,0,0.185901,0.814099
1,1,1,1.61,1.3605,0.646653,1.42632,0.005,43,1.04,1.07,25.13,1,1,0,0.134628,0.865372
1,1,1,62.1,34.2558,0.00254074,3.77883,0.075,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,62.1,34.2558,0.00254074,3.77883,0.025,31,1.31,1.36,18.31,1,1,0,0.130219,0.869781
1,1,1,62.1,34.2558,0.00254074,3.77883,0.005,68,1.22,1.27,46.76,0,0,0,0.885314,0.114686
1,1,1,62.1,34.2558,0.00254074,3.77883,0.05,-1,-1,-1,-1,-1,-1,0.949873,0,0.0501274
1,1,1,62.1,34.2558,0.00254074,3.77883,0,158,1.03,1.07,176.5,0,0,0,0.964473,0.0355266
1,1,1,62.1,34.2558,0.00254074,3.77883,0.1,-1,-1,-1,-1,-1,-1,0.928552,0,0.0714477
1,1,1,62.1,34.2558,0.00254074,3.77883,0.001,131,1.12,1.16,132.2,0,0,0,0.927329,0.0726715
1,1,1,62.1,34.2558,0.00254074,3.77883,0.01,50,1.27,1.31,29.05,0,0,0,0.813051,0.186949
1,1,1,38.57,19.9778,0.0221681,3.04389,0.001,75,1.08,1.12,51.68,0,0,0,0.915652,0.0843482
1,1,1,38.57,19.9778,0.0221681,3.04389,0.075,-1,-1,-1,-1,-1,-1,0.854284,0,0.145716
1,1,1,38.57,19.9778,0.0221681,3.04389,0.005,38,1.1,1.14,23.46,1,1,0,0.122964,0.877036
1,1,1,38.57,19.9778,0.0221681,3.04389,0.025,36,1.12,1.16,21.66,1,1,0,0.0454341,0.954566
1,1,1,38.57,19.9778,0.0221681,3.04389,0.05,-1,-1,-1,-1,-1,-1,0.898087,0,0.101913
1,1,1,38.57,19.9778,0.0221681,3.04389,0.1,-1,-1,-1,-1,-1,-1,0.860337,0,0.139663
1,1,1,38.57,19.9778,0.0221681,3.04389,0.01,36,1.1,1.14,17.79,1,1,0,0.07844,0.92156
1,1,1,38.57,19.9778,0.0221681,3.04389,0,131,1.03,1.07,122.6,0,0,0,0.9663,0.0336996
1,1,1,17.43,11.7537,0.013676,3.54459,0.025,29,1.27,1.31,16.9,1,1,0,0.134344,0.865656
1,1,1,17.43,11.7537,0.013676,3.54459,0.001,90,1.05,1.09,61.53,0,0,0,0.95527,0.0447298
1,1,1,17.43,11.7537,0.013676,3.54459,0.005,58,1.15,1.19,37.72,0,0,0,0.966404,0.0335957
1,1,1,17.43,11.7537,0.013676,3.54459,0.01,44,1.2,1.24,30.85,0,0,0,0.859441,0.140559
1,1,1,17.43,11.7537,0.013676,3.54459,0.05,-1,-1,-1,-1,-1,-1,0.978224,0,0.021776
1,1,1,17.43,11.7537,0.013676,3.54459,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,17.43,11.7537,0.013676,3.54459,0,94,1.03,1.07,66.85,0,0,0,0.9553,0.0446997
1,1,1,17.43,11.7537,0.013676,3.54459,0.075,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.075,-1,-1,-1,-1,-1,-1,0.924233,0,0.0757672
1,1,1,85.32,43.2697,0.0129079,2.85236,0.01,31,1.11,1.15,16.55,1,1,0,0.0453935,0.954606
1,1,1,85.32,43.2697,0.0129079,2.85236,0.05,-1,-1,-1,-1,-1,-1,0.924233,0,0.0757672
1,1,1,85.32,43.2697,0.0129079,2.85236,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,85.32,43.2697,0.0129079,2.85236,0.005,31,1.1,1.14,18.46,1,1,0,0.0868384,0.913162
1,1,1,85.32,43.2697,0.0129079,2.85236,0,179,1.03,1.07,185.9,0,0,0,0.931466,0.0685337
1,1,1,85.32,43.2697,0.0129079,2.85236,0.001,61,1.09,1.14,39.86,0,0,0,0.954431,0.0455692
1,1,1,85.32,43.2697,0.0129079,2.85236,0.025,30,1.12,1.16,14.06,1,1,0,0.0466937,0.953306
1,1,1,85.32,51.0286,0.000858451,3.88042,0.1,-1,-1,-1,-1,-1,-1,0.866253,0,0.133747
1,1,1,85.32,51.0286,0.000858451,3.88042,0.075,-1,-1,-1,-1,-1,-1,0.901834,0,0.0981664
1,1,1,85.32,51.0286,0.000858451,3.88042,0,200,1.03,1.07,250.3,0,0,0,1,0
1,1,1,85.32,51.0286,0.000858451,3.88042,0.01,53,1.3,1.35,34.32,0,0,0,0.900568,0.0994319
1,1,1,85.32,51.0286,0.000858451,3.88042,0.05,-1,-1,-1,-1,-1,-1,0.901834,0,0.0981664
1,1,1,85.32,51.0286,0.000858451,3.88042,0.001,136,1.2,1.25,122.1,0,0,0,0.92471,0.0752896
1,1,1,85.32,51.0286,0.000858451,3.88042,0.025,32,1.33,1.38,19.12,1,1,0,0.0677688,0.932231
1,1,1,85.32,51.0286,0.000858451,3.88042,0.005,66,1.28,1.33,43.56,0,0,0,1,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.075,-1,-1,-1,-1,-1,-1,0.97699,0,0.0230099
1,1,1,72.79,37.0767,0.0118877,3.08049,0,168,1.03,1.07,171.5,0,0,0,0.931466,0.0685337
1,1,1,72.79,37.0767,0.0118877,3.08049,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,72.79,37.0767,0.0118877,3.08049,0.1,-1,-1,-1,-1,-1,-1,0.95025,0,0.0497501
1,1,1,72.79,37.0767,0.0118877,3.08049,0.001,69,1.09,1.13,53.42,0,0,0,0.911475,0.0885255
1,1,1,72.79,37.0767,0.0118877,3.08049,0.025,38,1.12,1.16,22.63,1,1,0,0.0374759,0.962524
1,1,1,72.79,37.0767,0.0118877,3.08049,0.005,42,1.1,1.14,27.84,1,1,0,0.13615,0.86385
1,1,1,72.79,37.0767,0.0118877,3.08049,0.01,40,1.1,1.15,19.46,1,1,0,0.083092,0.916908
1,1,1,32.9,19.8713,0.00550602,3.70086,0.005,62,1.2,1.24,41.27,0,0,0,1,0
1,1,1,32.9,19.8713,0.00550602,3.70086,0.075,-1,-1,-1,-1,-1,-1,0.958038,0,0.0419616
1,1,1,32.9,19.8713,0.00550602,3.70086,0.05,-1,-1,-1,-1,-1,-1,0.871954,0,0.128046
1,1,1,32.9,19.8713,0.00550602,3.70086,0,131,1.03,1.07,113.4,0,0,0,0.928156,0.0718444
1,1,1,32.9,19.8713,0.00550602,3.70086,0.1,-1,-1,-1,-1,-1,-1,0.90271,0,0.0972898
1,1,1,32.9,19.8713,0.00550602,3.70086,0.001,102,1.08,1.13,73.61,0,0,0,0.900861,0.0991391
1,1,1,32.9,19.8713,0.00550602,3.70086,0.01,48,1.24,1.29,26.81,0,0,0,0.881817,0.118183
1,1,1,32.9,19.8713,0.00550602,3.70086,0.025,36,1.29,1.34,19.38,1,1,0,0.0903923,0.909608
1,1,1,14.87,8.02929,0.0785196,2.58037,0,79,1.03,1.07,55.8,0,0,0,0.902786,0.0972137
1,1,1,14.87,8.02929,0.0785196,2.58037,0.075,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,14.87,8.02929,0.0785196,2.58037,0.001,75,1.04,1.08,60.87,0,0,0,0.962342,0.0376584
1,1,1,14.87,8.02929,0.0785196,2.58037,0.01,26,1.09,1.13,13.58,1,0,0,0.55129,0.44871
1,1,1,14.87,8.02929,0.0785196,2.58037,0.025,21,1.12,1.16,10.99,1,1,0,0.0236838,0.976316
1,1,1,14.87,8.02929,0.0785196,2.58037,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,14.87,8.02929,0.0785196,2.58037,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,14.87,8.02929,0.0785196,2.58037,0.005,38,1.08,1.12,23.33,0,0,0,0.858559,0.141441
1,1,1,6.72,4.48325,0.0879685,2.89072,0.075,-1,-1,-1,-1,-1,-1,0.95246,0,0.0475397
1,1,1,6.72,4.48325,0.0879685,2.89072,0,45,1.03,1.07,26.12,0,0,0,0.851733,0.148267
1,1,1,6.72,4.48325,0.0879685,2.89072,0.01,31,1.09,1.13,17.95,1,1,0,0.0959254,0.904075
1,1,1,6.72,4.48325,0.0879685,2.89072,0.001,44,1.04,1.07,29.25,0,0,0,0.82414,0.17586
1,1,1,6.72,4.48325,0.0879685,2.89072,0.05,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,6.72,4.48325,0.0879685,2.89072,0.1,-1,-1,-1,-1,-1,-1,1,0,0
1,1,1,6.72,4.48325,0.0879685,2.89072,0.025,-1,-1,-1,-1,-1,-1,0.832698,0,0.167302
1,1,1,6.72,4.48325,0.0879685,2.89072,0.005,43,1.04,1.08,24.78,0,0,0,0.63936,0.36064
1,1,1,85.32,43.1854,0.0195524,2.28545,0.001,47,1.1,1.14,26.49,0,0,0,0.909993,0.0900068
1,1,1,85.32,43.1854,0.0195524,2.28545,0.075,-1,-1,-1,-1,-1,-1,0.901994,0,0.098006
1,1,1,85.32,43.1854,0.0195524,2.28545,0.05,-1,-1,-1,-1,-1,-1,0.904321,0,0.0956785
1,1,1,85.32,43.1854,0.0195524,2.28545,0.1,-1,-1,-1,-1,-1,-1,0.924233,0,0.0757672
1,1,1,85.32,43.1854,0.0195524,2.28545,0.025,19,1.11,1.15,9.612,1,1,0.0270075,0.0753014,0.897691
1,1,1,85.32,43.1854,0.0195524,2.28545,0,162,1.03,1.07,183.5,0,0,0,1,0
1,1,1,85.32,43.1854,0.0195524,2.28545,0.005,24,1.1,1.14,14.42,0,0,0,0.565009,0.434991
1,1,1,85.32,43.1854,0.0195524,2.28545,0.01,20,1.11,1.15,9.197,1,1,0,0.151896,0.848104
1,1,1,32.9,17.0363,0.0367583,2.67266,0.01,25,1.1,1.14,12.83,1,1,0,0.0440977,0.955902
