#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
17.43,62.10,1e-6,2.28571e-06,2.28571,5,310.5,166.218,0.00343958,3.72301,0.05,23,1.41,1.47,14.53,1
2.59,6.72,1e6,1.77778e-06,1.77778,5,33.6,20.1295,0.144327,2.51199,0.05,18,1.41,1.46,8.889,0
4.18,23.95,1e-4,0.000228542,2.28542,5,119.75,63.7265,0.0309499,3.09843,0.05,22,1.4,1.46,8.009,1
1.00,1.61,1e-2,0.022567,2.2567,5,8.05,6.525,0.766284,1.23372,0.05,17,1.41,1.46,5.795,1
2.21,6.72,1e6,1.77778e-06,1.77778,5,33.6,19.8755,0.161413,2.39717,0.05,18,1.41,1.46,7.271,0
9.24,62.10,1e2,0.0176406,1.76406,5,310.5,161.231,0.00619057,3.55217,0.05,21,1.41,1.47,10.99,0
1.37,23.95,1e-4,0.000228542,2.28542,5,119.75,62.5022,0.0676458,2.21956,0.05,21,1.36,1.41,21.87,0
32.90,45.20,1e6,1.77778e-06,1.77778,5,226,141.979,0.00255398,3.79798,0.05,23,1.42,1.47,11.34,0
3.56,100.00,1e-2,0.022567,2.2567,5,500,253.394,0.00868508,3.09189,0.05,23,1.4,1.45,10.84,0
1.00,3.04,1e0,1,1,5,15.2,10.1,0.49505,1.50495,0.05,15,1.38,1.43,5.937,1
5.74,17.43,1e-6,2.28571e-06,2.28571,5,87.15,48.5822,0.0322014,3.22169,0.05,20,1.41,1.46,6.648,0
5.74,45.20,1e2,0.0176406,1.76406,5,226,117.412,0.0128457,3.33279,0.05,20,1.41,1.46,6.96,0
1.17,9.24,1e2,0.0176406,1.76406,5,46.2,25.6588,0.180012,1.94607,0.05,16,1.37,1.42,13.08,0
4.18,72.79,1e2,0.0176406,1.76406,5,363.95,185.622,0.0104648,3.18406,0.05,21,1.4,1.46,11.05,0
3.04,14.87,1e2,0.0176406,1.76406,5,74.35,40.5541,0.0623881,2.82024,0.05,20,1.4,1.46,7.762,0
20.43,62.10,1e-4,0.000228542,2.28542,5,310.5,168.426,0.00295807,3.75291,0.05,27,1.41,1.47,14.23,1
9.24,85.32,1e2,0.0176406,1.76406,5,426.6,219.07,0.00452531,3.56756,0.05,20,1.41,1.47,18.03,1
2.59,3.56,1e6,1.77778e-06,1.77778,5,17.8,12.6086,0.244343,2.25294,0.05,16,1.42,1.47,7.308,0
1.00,85.32,1e-2,0.022567,2.2567,5,426.6,215.8,0.0231696,1.97683,0.05,19,1.36,1.41,18.27,1
3.56,20.43,1e-2,0.022567,2.2567,5,102.15,54.651,0.0409329,2.97709,0.05,23,1.4,1.46,11.49,0
1.89,52.98,1e6,1.77778e-06,1.77778,5,264.9,135.256,0.0256407,2.56746,0.05,20,1.39,1.44,7.468,0
1.37,5.74,1e4,0.000177764,1.77764,5,28.7,16.9919,0.25041,1.96917,0.05,18,1.38,1.43,11.14,0
1.00,10.83,1e6,1.77778e-06,1.77778,5,54.15,29.575,0.169062,1.83094,0.05,15,1.36,1.42,14.92,1
4.18,38.57,1e-4,0.000228542,2.28542,5,192.85,100.158,0.0195148,3.14623,0.05,23,1.4,1.46,10.63,0
2.59,32.90,1e4,0.000177764,1.77764,5,164.5,85.3291,0.0328674,2.80067,0.05,21,1.4,1.45,7.463,0
1.89,38.57,1e-6,2.28571e-06,2.28571,5,192.85,99.2347,0.0349781,2.54981,0.05,21,1.39,1.44,8.079,0
4.18,85.32,1e4,0.000177764,1.77764,5,426.6,216.933,0.00894579,3.19041,0.05,21,1.4,1.45,8.524,0
14.87,62.10,1e0,1,1,5,310.5,164.495,0.00399442,3.68856,0.05,27,1.41,1.47,23.84,0
3.56,45.20,1e6,1.77778e-06,1.77778,5,226,116.447,0.0189869,3.05521,0.05,21,1.4,1.45,10.4,0
1.00,4.18,1e-2,0.022567,2.2567,5,20.9,12.95,0.3861,1.6139,0.05,17,1.37,1.43,6.488,1
10.83,38.57,1e4,0.000177764,1.77764,5,192.85,103.942,0.00854494,3.56933,0.05,21,1.41,1.47,16.29,0
1.00,1.17,1e-6,2.28571e-06,2.28571,5,5.85,5.425,0.921659,1.07834,0.05,15,1.43,1.48,5.17,0
1.61,32.90,1e-4,0.000228542,2.28542,5,164.5,84.9604,0.0452085,2.39465,0.05,21,1.37,1.42,8.952,0
